LOCATION,ONE_LINER,INDUSTRY,BATCH,SUBINDUSTRY,`AI?`
"San Francisco, CA, USA",Autonomous Factories for American Manufacturing,Industrials,Spring 2025,"['Industrials', 'Manufacturing and Robotics']",Not AI Related
"San Francisco, CA, USA",AI agents for web testing,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Sell with a text.,Consumer,Summer 2025,['Consumer'],Not AI Related
"San Francisco, CA, USA",AI companion that helps you learn languages,Consumer,Summer 2025,['Consumer'],AI Related
"San Francisco, CA, USA",Tech-Enabled Distribution for Retailers in Southeast Asia,B2B,Summer 2025,"['B2B', 'Supply Chain and Logistics']",Not AI Related
"San Francisco, CA, USA",An AI-Native Browser,Consumer,Summer 2025,['Consumer'],AI Related
"San Francisco, CA, USA",AI employees for commercial real estate,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Robotics models to automate industries where errors can kill,Industrials,Summer 2025,"['Industrials', 'Manufacturing and Robotics']",AI Related
"San Francisco, CA, USA",MCP gateway-as-a-service for agentic AI workflows.,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",ai-native admin for HVAC,B2B,Summer 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",We help products get mentioned in ChatGPT.,B2B,Summer 2025,"['B2B', 'Marketing']",Not AI Related
"San Francisco, CA, USA",Cursor for evals and human data,B2B,Summer 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",Data and environments to train computer use AI,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Open source AI agents automatically fix your production bugs,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Email Infrastructure for AI Agents,B2B,Summer 2025,"['B2B', 'Infrastructure']",AI Related
"San Francisco, CA, USA",Building the unified governance layer for regulated industries,B2B,Summer 2025,"['B2B', 'Legal']",Not AI Related
"San Francisco, CA, USA",Computational toolkit for RNA therapeutics,Healthcare,Summer 2025,"['Healthcare', 'Therapeutics']",Not AI Related
"San Francisco, CA, USA",AI agents for individual investors,Fintech,Summer 2025,"['Fintech', 'Consumer Finance']",AI Related
"San Francisco, CA, USA",Voice AI for booking freight,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Most Powerful AI Video Gen Model for Explainer Videos From Documents,B2B,Summer 2025,"['B2B', 'Productivity']",AI Related
"San Francisco, CA, USA","The fastest, most affordable payroll for global teams",Fintech,Summer 2025,"['Fintech', 'Payments']",Not AI Related
"San Francisco, CA, USA",Browser agents for finding UX bugs in your product,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Superhuman for text messages,B2B,Summer 2025,"['B2B', 'Productivity']",Not AI Related
"San Francisco, CA, USA",Scale AI for video and voice data.,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Your AI pharmacy technician,Healthcare,Summer 2025,"['Healthcare', 'Healthcare IT']",AI Related
"San Francisco, CA, USA",AI models that teach robots new skills in hours,Industrials,Summer 2025,"['Industrials', 'Manufacturing and Robotics']",AI Related
"San Francisco, CA, USA",Automating drawing reviews for construction contractors,Real Estate and Construction,Summer 2025,"['Real Estate and Construction', 'Construction']",Not AI Related
"San Francisco, CA, USA",AI DevOps Engineer,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",AI Agents for Billing Operations,B2B,Summer 2025,"['B2B', 'Operations']",AI Related
"San Francisco, CA, USA",The AI Call Center for Local Governments,Government,Summer 2025,['Government'],AI Related
"San Francisco, CA, USA",World's largest crowdsourced benchmark for AI-generated design,Consumer,Summer 2025,['Consumer'],AI Related
"San Francisco, CA, USA","Cursor for Data Science — secure, AI-native IDE for data scientists",B2B,Summer 2025,"['B2B', 'Analytics']",AI Related
"San Francisco, CA, USA",The AI GIS Platform,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI agents that find you customers who already want to buy,B2B,Summer 2025,"['B2B', 'Sales']",AI Related
"San Francisco, CA, USA",The Alignment Company.,B2B,Summer 2025,"['B2B', 'Infrastructure']",Not AI Related
"San Francisco, CA, USA",Cursor for CUDA,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Voice data that makes machines sound human,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",AI phone agents for Commercial Lending,B2B,Summer 2025,"['B2B', 'Finance and Accounting']",AI Related
"San Francisco, CA, USA",The computer use agent for developers to automate legacy desktop apps,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",The AI-Native Jira,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Spot GPU marketplace that uses idle GPUs from enterprises,B2B,Summer 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",The billing system for AI products,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA","AI grading for teachers, starting with math",Education,Summer 2025,['Education'],AI Related
"San Francisco, CA, USA",Frontier Intelligence. On Any Device.,B2B,Summer 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",Your team's AI software engineer,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Lovable for automations,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Make AI data centers more efficient.,B2B,Summer 2025,"['B2B', 'Infrastructure']",AI Related
"San Francisco, CA, USA",AI procurement analysts for advanced industries,B2B,Summer 2025,"['B2B', 'Supply Chain and Logistics']",AI Related
"San Francisco, CA, USA",AI media manager,B2B,Summer 2025,"['B2B', 'Operations']",AI Related
"San Francisco, CA, USA",Open-source identity-aware gateway to applications on private networks,B2B,Summer 2025,"['B2B', 'Infrastructure']",Not AI Related
"San Francisco, CA, USA",Palantir for Health AI Agents,Healthcare,Summer 2025,['Healthcare'],AI Related
"San Francisco, CA, USA",ChatGPT with Hands,B2B,Summer 2025,"['B2B', 'Productivity']",Not AI Related
"San Francisco, CA, USA",AI-native video editing software that automates video post-production,Consumer,Summer 2025,"['Consumer', 'Content']",AI Related
"San Francisco, CA, USA",The simulation and evaluation engine for AI agents,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Implantable microchips for cattle monitoring,Industrials,Summer 2025,"['Industrials', 'Agriculture']",Not AI Related
"San Francisco, CA, USA","Firmware in minutes, not months - rigorously tested on real hardware",B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Building tiny frontier AI models that run on edge devices,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Deep research for class action lawsuits,B2B,Summer 2025,"['B2B', 'Legal']",Not AI Related
"San Francisco, CA, USA",AI-native Red Teaming and Offensive Security,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA","Evaluate, Deploy, and Monitor Clinical AI",Healthcare,Summer 2025,"['Healthcare', 'Healthcare IT']",AI Related
"San Francisco, CA, USA",Simulated human biology and synthetic medical datasets.,Healthcare,Summer 2025,['Healthcare'],Not AI Related
"San Francisco, CA, USA",Autonomous AI workforce for PE roll-ups,B2B,Summer 2025,"['B2B', 'Operations']",AI Related
"San Francisco, CA, USA",Workflow engine routing repetitive tasks to AI agents,B2B,Summer 2025,"['B2B', 'Productivity']",AI Related
"San Francisco, CA, USA",The agentic debugger for AI systems,B2B,Summer 2025,"['B2B', 'Analytics']",AI Related
"San Francisco, CA, USA",Developing chemical super intelligence - one agent at a time.…,Healthcare,Summer 2025,"['Healthcare', 'Drug Discovery and Delivery']",Not AI Related
"San Francisco, CA, USA",We Bring Customers to Your Dealership,Industrials,Summer 2025,"['Industrials', 'Automotive']",Not AI Related
"San Francisco, CA, USA",Claude Code for Firmware,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Granola for in-person conversations,B2B,Summer 2025,"['B2B', 'Sales']",Not AI Related
"San Francisco, CA, USA","A database for your mind, built on plain text.",Consumer,Summer 2025,['Consumer'],Not AI Related
"San Francisco, CA, USA","Modern compliance for drones, robots, IoT, and beyond",Industrials,Summer 2025,['Industrials'],Not AI Related
"San Francisco, CA, USA","Engineers for AI era, starting with contextual layer for coding agents",B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Analyze and understand complex agent workflows with clarity.,B2B,Summer 2025,"['B2B', 'Operations']",Not AI Related
"San Francisco, CA, USA",Cursor for music production,Consumer,Summer 2025,['Consumer'],Not AI Related
"San Francisco, CA, USA",Harvey for insurance,Fintech,Summer 2025,"['Fintech', 'Insurance']",Not AI Related
"San Francisco, CA, USA","Automating clinical trials with agents, starting in recruitment",Healthcare,Summer 2025,"['Healthcare', 'Healthcare IT']",Not AI Related
"San Francisco, CA, USA","16"" missiles that target and shoot down drones",Industrials,Summer 2025,"['Industrials', 'Drones']",Not AI Related
"San Francisco, CA, USA",Open-source dev tools and infrastructure for MCP.,B2B,Summer 2025,"['B2B', 'Infrastructure']",Not AI Related
"San Francisco, CA, USA",Open-source AI notetaker for enterprises,B2B,Summer 2025,"['B2B', 'Productivity']",AI Related
"San Francisco, CA, USA",Next Gen Data,B2B,Summer 2025,"['B2B', 'Infrastructure']",Not AI Related
"San Francisco, CA, USA",Voice AI Executive Assistant,Consumer,Summer 2025,['Consumer'],AI Related
"San Francisco, CA, USA",QA agent for mobile teams,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Convert textual content into explainer videos in < 15s,B2B,Summer 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",The command center for your AI agents,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI agents that automate administrative work across college campuses.,Education,Summer 2025,['Education'],AI Related
"San Francisco, CA, USA",AI Customer Support Teams for E-commerce,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI coworkers for fraud and risk teams.,B2B,Summer 2025,"['B2B', 'Operations']",AI Related
"San Francisco, CA, USA",The easiest and most powerful way to build apps with AI.,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Creating the next trillion RL environments.,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Full-stack AI BPO for travel & transport,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI platform to grow and to optimize car washes,B2B,Summer 2025,"['B2B', 'Sales']",AI Related
"San Francisco, CA, USA",We audit medical claims for self-insured employers and health plans.,Healthcare,Summer 2025,"['Healthcare', 'Healthcare IT']",Not AI Related
"San Francisco, CA, USA",Helping commercial real estate brokers find and close more deals.,Real Estate and Construction,Summer 2025,['Real Estate and Construction'],Not AI Related
"San Francisco, CA, USA",Voice AI Agents for Debt Collection,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Automating compliance checks for engineering drawings,Industrials,Summer 2025,['Industrials'],Not AI Related
"San Francisco, CA, USA",AI HR manager for hourly teams,B2B,Summer 2025,"['B2B', 'Human Resources']",AI Related
"San Francisco, CA, USA",The AI tutor that lives in your notes,Education,Summer 2025,['Education'],AI Related
"San Francisco, CA, USA",The world's first AI-maximalist pharma company,Healthcare,Summer 2025,"['Healthcare', 'Drug Discovery and Delivery']",AI Related
"San Francisco, CA, USA",Pally is an AI Relationship Management Platform,B2B,Summer 2025,"['B2B', 'Productivity']",AI Related
"San Francisco, CA, USA",Reliable Web Agents for Enterprise,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Replacing the restaurant phone line with Voice AI,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",We automate creator marketing for the world's largest brands,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Crazy Fast Browsers-as-a-Service,B2B,Summer 2025,"['B2B', 'Infrastructure']",Not AI Related
"San Francisco, CA, USA",Text your personal AI clone,Consumer,Summer 2025,['Consumer'],AI Related
"San Francisco, CA, USA","Build agents using natural language, it's Lovable for agents",B2B,Summer 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",Building a GPS alternative 100x more powerful with no hardware needed.,B2B,Summer 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",Code from your phone,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",The AI CRM for Real Estate Agents,Real Estate and Construction,Summer 2025,"['Real Estate and Construction', 'Housing and Real Estate']",AI Related
"San Francisco, CA, USA",Optimizing fleet planning with data driven algorithms,B2B,Summer 2025,"['B2B', 'Supply Chain and Logistics']",Not AI Related
"San Francisco, CA, USA",All-in-one TypeScript platform for startups,B2B,Summer 2025,"['B2B', 'Infrastructure']",Not AI Related
"San Francisco, CA, USA",AI Agent for Clinic EMRs,Healthcare,Summer 2025,"['Healthcare', 'Healthcare IT']",AI Related
"San Francisco, CA, USA",The AI support engineering agent,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Governance for AI Employees,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Ultra-realistic AI Recruiter,B2B,Summer 2025,"['B2B', 'Recruiting and Talent']",AI Related
"San Francisco, CA, USA",AI agents for loan servicing and collections,Fintech,Summer 2025,"['Fintech', 'Credit and Lending']",AI Related
"San Francisco, CA, USA",AI agents for industrial commerce,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Agentic Operating System for Food Supply Chain,B2B,Summer 2025,"['B2B', 'Supply Chain and Logistics']",AI Related
"San Francisco, CA, USA",Voice AI Agents For Financial Services And Other Regulated Industries,Fintech,Summer 2025,['Fintech'],AI Related
"San Francisco, CA, USA",Cursor for Lawyers. Agentic AI in MS Office.,B2B,Spring 2025,"['B2B', 'Legal']",AI Related
"San Francisco, CA, USA",Agents for in-house legal teams,B2B,Spring 2025,"['B2B', 'Legal']",AI Related
"San Francisco, CA, USA",Open Source MCP Integrations for AI Applications,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA",quantum-accelerated AI servers,Industrials,Spring 2025,['Industrials'],AI Related
"San Francisco, CA, USA",Software tool for designing robots and machines,Industrials,Spring 2025,"['Industrials', 'Manufacturing and Robotics']",Not AI Related
"San Francisco, CA, USA",Reinventing the trading terminal — one intelligent agent at a time.,Fintech,Spring 2025,['Fintech'],Not AI Related
"San Francisco, CA, USA",Valuemate automates real estate appraisals with AI,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA",Scale personalized service to every customer.,B2B,Spring 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",chrt is a logistics platform for time-critical shipping,B2B,Spring 2025,"['B2B', 'Supply Chain and Logistics']",Not AI Related
"San Francisco, CA, USA",Autonomous Security Agents,B2B,Spring 2025,"['B2B', 'Security']",AI Related
"San Francisco, CA, USA",Automatically write and update internal docs with every code commit.,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Hands off QA via intelligent browser agents.,B2B,Spring 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",Cursor for knowledge workers,B2B,Spring 2025,"['B2B', 'Productivity']",Not AI Related
"San Francisco, CA, USA",AI Engineer to troubleshoot manufacturing line issues,B2B,Spring 2025,"['B2B', 'Operations']",AI Related
"San Francisco, CA, USA",AI in your group chats,Consumer,Spring 2025,['Consumer'],AI Related
"San Francisco, CA, USA",Deep space communications as a service,Industrials,Spring 2025,"['Industrials', 'Aviation and Space']",Not AI Related
"San Francisco, CA, USA",A team of coding agents in your pocket,B2B,Summer 2025,"['B2B', 'Productivity']",Not AI Related
"San Francisco, CA, USA",Physics-based foundation models for CAD optimization.,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",The World's First AI-Native Ad Network.,B2B,Summer 2025,"['B2B', 'Infrastructure']",AI Related
"San Francisco, CA, USA","Analyze any footage, without training a model",B2B,Summer 2025,"['B2B', 'Analytics']",Not AI Related
"San Francisco, CA, USA",AI-native ERP for food wholesalers,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI operating system for ambulance agencies,Healthcare,Summer 2025,['Healthcare'],AI Related
"San Francisco, CA, USA",Training the best computer use models in the world. Automate anything.,B2B,Summer 2025,"['B2B', 'Productivity']",Not AI Related
"San Francisco, CA, USA",AI agents for distributors and manufacturers to automate order entry.,B2B,Summer 2025,"['B2B', 'Supply Chain and Logistics']",AI Related
"San Francisco, CA, USA",Prompt to full stack app with visual workflows,B2B,Summer 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",Helping regulated firms show up in AI search.,Fintech,Summer 2025,['Fintech'],AI Related
"San Francisco, CA, USA",Autonomous undersea vehicles to deter maritime invasions.,Government,Summer 2025,['Government'],Not AI Related
"San Francisco, CA, USA",AI accounting for enterprise finance teams,B2B,Summer 2025,"['B2B', 'Finance and Accounting']",AI Related
"San Francisco, CA, USA",AI Insurance for hardware.,Fintech,Summer 2025,"['Fintech', 'Insurance']",AI Related
"San Francisco, CA, USA",Procurement Platform for Dental Offices,B2B,Summer 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",Talk to your AI,Consumer,Summer 2025,"['Consumer', 'Consumer Electronics']",AI Related
"San Francisco, CA, USA",AI Motion Designer,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Waymo for excavators,Industrials,Summer 2025,"['Industrials', 'Manufacturing and Robotics']",Not AI Related
"San Francisco, CA, USA",Computer-use agents for CPA firms to automate taxes,B2B,Summer 2025,"['B2B', 'Productivity']",AI Related
"San Francisco, CA, USA",Next-gen observability that finds & fixes bugs automatically,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",AI regulatory drafting and compliance,B2B,Summer 2025,"['B2B', 'Legal']",AI Related
"San Francisco, CA, USA",Build AI agents for field technicians to diagnose and sell 10x better,Industrials,Summer 2025,['Industrials'],AI Related
"San Francisco, CA, USA",Simple ML framework and cloud for generating fast GPU code.,B2B,Summer 2025,"['B2B', 'Infrastructure']",AI Related
"San Francisco, CA, USA",RealRoots is a mobile app that guarantees women lifelong friendships.,Consumer,Summer 2025,"['Consumer', 'Social']",Not AI Related
"San Francisco, CA, USA",Foundational Voice AI for underserved languages,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA","AI-native CRM for billing, renewals, and expansions",B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",We build AI support engineers for outsourced IT services (MSPs),B2B,Fall 2025,['B2B'],AI Related
